n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall
10120,15,20,50,100,1,22,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.9072727272727272,0.909090909090909,0.998,1.0
10120,15,20,50,100,1,23,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.8695652173913044,0.8695652173913044,1.0,1.0
10120,15,20,50,100,1,24,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.8333333333333333,0.8333333333333333,1.0,1.0
10120,15,20,50,100,1,25,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.7999999999999999,0.7999999999999999,1.0,1.0
10120,15,20,50,100,1,26,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.7692307692307693,0.7692307692307693,1.0,1.0
10120,15,20,50,100,1,27,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.7407407407407406,0.7407407407407406,1.0,1.0
10120,15,20,50,100,1,28,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.7142857142857143,0.7142857142857143,1.0,1.0
10120,15,20,50,100,1,29,115.5,115.5,135.5,105.5,155.5,115.5,155.5,115.5,155.5,145.5,131.5,0.6896551724137933,0.6896551724137933,1.0,1.0
10035,2,10,50,25,5,10,14.64,18.28,31.48,15.72,15.44,15.84,15.76,15.44,43.4,18.16,20.416000000000004,0.8818927738927739,0.9212121212121211,0.998,1.0
10035,2,10,50,25,5,11,14.64,18.28,31.48,15.72,15.44,15.84,15.76,15.44,43.4,18.16,20.416000000000004,0.8037795537795537,0.8356643356643355,1.0,1.0
10035,2,10,50,25,5,12,14.64,18.28,31.48,15.72,15.44,15.84,15.76,15.44,43.4,18.16,20.416000000000004,0.7445054945054945,0.771062271062271,1.0,1.0
10035,2,10,50,25,5,13,14.64,18.28,31.48,15.72,15.44,15.84,15.76,15.44,43.4,18.16,20.416000000000004,0.7016483516483516,0.726007326007326,1.0,1.0
10035,2,10,50,25,5,14,14.64,18.28,31.48,15.72,15.44,15.84,15.76,15.44,43.4,18.16,20.416000000000004,0.6520424836601307,0.6767857142857143,1.0,1.0
10035,15,10,50,25,5,10,63.0,63.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,23.0,35.0,0.9940000000000001,1.0,0.9940000000000001,1.0
10035,15,10,50,25,5,11,63.0,63.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,23.0,35.0,0.909090909090909,0.909090909090909,1.0,1.0
10035,15,10,50,25,5,12,63.0,63.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,23.0,35.0,0.8333333333333333,0.8333333333333333,1.0,1.0
10035,15,10,50,25,5,13,63.0,63.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,23.0,35.0,0.7692307692307693,0.7692307692307693,1.0,1.0
10035,15,10,50,25,5,14,63.0,63.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,23.0,35.0,0.7142857142857143,0.7142857142857143,1.0,1.0
10060,2,10,50,50,5,10,74.0,54.2,35.28,32.68,39.6,42.56,41.56,36.04,31.36,32.68,41.996,0.8886293706293706,0.9393939393939392,0.998,1.0
10060,2,10,50,50,5,11,74.0,54.2,35.28,32.68,39.6,42.56,41.56,36.04,31.36,32.68,41.996,0.8143356643356643,0.8444055944055944,1.0,1.0
10060,2,10,50,50,5,12,74.0,54.2,35.28,32.68,39.6,42.56,41.56,36.04,31.36,32.68,41.996,0.7476923076923077,0.7774725274725275,1.0,1.0
